No.,Location of Anomaly,Confidence
1,71185,1.978025713780998
2,71391,2.0008416399621525
3,71390,2.0141921738456787
4,5511,3.4934117535678766
5,5389,3.2222202793569594
6,5360,2.0083805434921778
7,6518,2.9733805962814097
8,5547,3.532079304111548
9,4850,3.095757698351851
10,6052,4.543810360333595
11,11863,4.060756167165935
12,16055,3.987514725170308
13,15024,1.5706792724108218
14,24500,1.9941253469833025
15,17098,13.20012331288265
16,16862,2.9005979338846046
17,16975,2.798341474760612
18,23850,1.991730868949087
19,6189,2.3347788739538884
20,7223,2.1734790245016438
21,6024,3.3218370062428333
22,6549,2.5063411314423885
23,8715,4.21594507372007
24,4524,6.1969828848423765
25,5605,12.25940333068493
26,7550,2.0480173049360793
27,4196,9.378439269589476
28,3134,2.8946547987438125
29,4490,4.239657818846378
30,4185,4.0291735515107785
31,7456,3.7387923422972404
32,4683,4.051728208388598
33,6163,4.579589023236348
34,7649,2.441991717699972
35,7500,2.429853166999175
36,5142,2.0491086666665224
37,17225,4.9935805915978
38,5417,1.9786052837764239
39,16400,2.3870278443989115
40,7112,1.5001064471535974
41,17393,1.5219225978346853
42,28510,1.5050570975408106
43,19210,4.057917596557836
44,26306,2.6232077589724803
45,26306,2.6410526252928177
46,26306,2.766974255577413
47,26305,4.749378486037346
48,5987,3.565121967113259
49,11397,2.8380996490489125
50,5987,2.441401510011664
51,9334,4.912578782743017
52,4719,2.8243316068686157
53,5796,3.109088158889014
54,5919,3.5619883548510582
55,21049,1.5228088836160503
56,27880,1.432140101540494
57,7432,1.9964731708901535
58,12198,1.5137297995927341
59,56269,1.5317433379820375
60,55224,1.2273647948156787
61,64994,1.5021871071609416
62,63999,2.2388872307897114
63,22705,1.5048832534258478
64,63999,2.5505052974175424
65,7231,1.9484476221689264
66,7093,1.5233125367740308
67,8737,2.0501389896958035
68,6557,2.71154325730911
69,8513,2.23442698580019
70,52641,4.327082241744664
71,52639,5.553845563991555
72,53582,3.139794323025801
73,89925,1.9446614719521116
74,21011,1.9337937812060402
75,22011,2.1014778205207545
76,194930,1.5270252406782028
77,110798,22.326984485791783
78,199954,2.8484169930685614
79,167486,1.5249574322088182
80,189974,1.5606027935225706
81,190093,1.3791252220797465
82,195174,1.5374230821970643
83,143491,2.044578399847195
84,35819,2.4367796546671765
85,35816,2.940149592916068
86,51610,2.0397734082978682
87,53541,2.058578836010668
88,49562,1.2674254087648167
89,114158,1.507787996611768
90,124973,4.690633485334957
91,129435,1.9496091764603294
92,67993,45.87343283286958
93,71185,2.030122197295931
94,5511,3.355690354927249
95,5573,2.4362331140392914
96,16975,2.9338090467029287
97,5903,2.0639634192224547
98,4189,2.832074506783607
99,3471,2.3704569353217075
100,17225,3.5998204543069576
101,7122,1.501710994933386
102,19384,4.215918755868133
103,4720,2.6425165210406876
104,37038,1.5584340747908052
105,41406,1.1243038425587784
106,63998,2.2463552559718805
107,8737,2.6770969176218307
108,199985,1.5201929124530174
109,69695,1.5234203695338095
110,71391,1.9936071917014653
111,67158,1.9736277827624258
112,5510,3.81678501269917
113,5389,3.1452247736370453
114,5686,2.053911308669514
115,6447,3.757855680464849
116,5547,3.4532125999424377
117,4850,4.451744245213563
118,6052,4.166432987529531
119,11863,4.0252357699334125
120,16055,4.0281313010963204
121,28292,1.924352050796002
122,28292,1.9729724501641703
123,17099,16.83160216305318
124,16975,2.9681732837533668
125,16975,2.8610558198303924
126,28292,1.9393219412714375
127,6188,2.8712096806120755
128,7173,3.2075658739847466
129,5991,12.539122325104687
130,6550,3.603580499701666
131,8715,6.2717686558119645
132,4524,6.785401185223162
133,5605,13.446035471693794
134,5807,1.9401716207060842
135,4196,22.155967785912555
136,7456,3.7656069702107606
137,7456,4.806043982284301
138,4185,8.81734976977635
139,7456,3.2047325766219967
140,4752,4.777898332120083
141,6162,4.715482224966343
142,7653,2.514512810851451
143,5800,2.9712967594658126
144,4488,1.8301980936456184
145,17225,4.372917615739222
146,5411,1.962198906290249
147,16400,2.3769719661850393
148,7111,1.5020468942122647
149,17393,1.5502753444087984
150,29705,1.5647312843418444
151,19307,3.2633583948833884
152,26306,2.6251874530576034
153,17545,2.8079658868437782
154,17545,2.879440690560776
155,26305,4.85359690118737
156,5987,4.991979650722567
157,11397,2.273405529009643
158,5990,2.351909875443779
159,9334,5.509319516371021
160,4720,2.2679671501060823
161,5796,2.237321368417073
162,5919,3.591531550961962
163,21020,2.5493379283127955
164,11125,1.0831751238063387
165,16063,1.1742712509676818
166,12269,2.53577049980484
167,55224,2.1608016391989366
168,41405,1.1688871685324704
169,55224,2.15976246918997
170,63998,1.748249922573612
171,31242,2.081859555922274
172,38430,1.5816879339666512
173,8823,2.1466844625989863
174,7996,1.989465261694491
175,8736,2.1391824656815794
176,6428,1.8194789708592993
177,8513,2.375761938679741
178,52641,3.9934333438749277
179,52638,4.854450653801171
180,53582,2.6915806821413364
181,89925,2.027929883854095
182,21011,1.9615020082708945
183,5399,2.975541472234979
184,68307,1.5425268045061078
185,110798,142.77323556747575
186,199920,3.595479596495176
187,68307,1.5425268045221272
188,68307,1.5425268045343683
189,190020,1.5099579459652928
190,128580,2.3776319372139243
191,143476,2.541706826091335
192,35819,2.428716735531396
193,35816,3.460149681302462
194,51076,2.442434540975788
195,53541,2.048415704117616
196,23663,1.9784117992824828
197,114280,2.7894762627377543
198,124973,9.179732347846631
199,129436,2.7551529704272264
200,67993,106.94192369045993
201,17013,2.2928872884614298
202,41738,3.8531150863660764
203,12555,1.6203426928612226
204,14998,2.79933138768353
205,39869,1.9766235141931014
206,26136,2.3345258895699663
207,8086,2.5048825331269446
